text,politeness,sarcasm,toxicity
"Thank you so much for your help, I really appreciate it.",9,0,0
"Wow, another brilliant idea from the management team.",3,8,1
"Could you please send me the file when you have a moment?",10,0,0
"Sure, because staying late every night is my favorite thing.",2,9,1
"You did an amazing job with that presentation.",9,0,0
"Guess what, the server crashed again. Shocking.",3,9,2
"I’m truly grateful for your patience today.",10,0,0
"Right, because ignoring my emails was clearly the best option.",3,8,1
"That was completely unnecessary and disrespectful.",2,1,6
"Great, now we can waste even more time fixing this.",3,7,2
"Please let me know if you need any assistance.",9,0,0
"You’ve outdone yourself, as usual.",5,6,1
"Stop talking nonsense and focus.",1,0,7
"Of course, because you always know better.",4,7,2
"Thanks again for the opportunity to work with you.",9,0,0
"That’s just perfect, another meeting that could’ve been an email.",2,8,1
"Hey, you handled that situation really well.",8,0,0
"Nice try, but that excuse doesn’t work anymore.",4,6,3
"You’re unbelievable, in the worst possible way.",1,2,8
"Please consider revising the report format before sending.",9,0,0
"Fantastic, another bug we didn’t need.",3,7,2
"Your contribution was really helpful to the team.",8,0,0
"Don’t worry, it’s not like deadlines matter here anyway.",3,8,1
"Could you be any slower?",1,5,5
"That comment was completely out of line.",2,0,7
"Well done on finishing early, that’s impressive!",9,0,0
"Yeah sure, because that plan worked so well last time.",3,8,1
"Your attitude is unacceptable.",1,0,8
"Thank you for clarifying that detail.",8,0,0
"I see you’ve finally decided to show up.",2,7,3
"Appreciate your support on this project.",9,0,0
"Wonderful, just what I needed — more chaos.",3,8,2
"Please let’s focus on solving the issue together.",8,0,0
"How kind of you to remind us of your mistakes again.",3,9,2
"You’re such a disappointment.",0,0,9
"Could you double-check that before submitting?",9,0,0
"Wow, who could have guessed this would fail again.",3,8,1
"Good morning, I hope you’re having a great start to the day.",10,0,0
"Stop pretending you know what you’re doing.",1,0,8
"Brilliant, you broke it again.",2,8,2
"Thanks, I couldn’t have done it without your help.",9,0,0
"Sure, because that’s totally my responsibility.",3,8,1
"You’re being very rude right now.",1,0,8
"Let’s keep communication clear and professional, please.",9,0,0
"Perfect, more pointless feedback.",2,8,2
"I appreciate your honesty about the mistake.",8,0,0
"Nice, another disaster in progress.",2,8,3
"Could you be more considerate next time?",7,0,2
"Wow, that’s such a genius move.",2,9,2
"Thank you for taking the time to review this.",9,0,0
"Thanks for looping me in on this conversation.",9,0,0
"Right, because waiting three hours for a reply is totally fine.",3,8,1
"Please, take your time — deadlines are just suggestions.",3,9,1
"I really appreciate your quick response.",10,0,0
"Nice, another last-minute change. Love that.",3,8,2
"Could we discuss this privately instead of in the group chat?",8,0,0
"Awesome, another Monday morning surprise.",3,7,1
"Please make sure to double-check before sending.",9,0,0
"That was completely unprofessional.",2,0,7
"Yeah, sure, it’s not like I had plans or anything.",2,8,2
"Great work, your report was clear and concise.",9,0,0
"Unbelievable, you actually did something right.",2,9,3
"Please don’t speak to me like that again.",4,0,7
"Perfect, now I can redo everything from scratch.",3,8,1
"Thanks for clarifying that detail.",9,0,0
